BindingEnergy_eV,Intensity
144.00,5487.5
144.40,6112.5
144.80,5487.5
145.20,5825.0
145.60,5712.5
146.00,5700.0
146.40,5637.5
146.80,5837.5
147.20,5200.0
147.60,5750.0
148.00,5462.5
148.40,5300.0
148.80,6025.0
149.20,5537.5
149.60,5750.0
150.00,5937.5
150.40,5687.5
150.80,5362.5
151.20,5475.0
151.60,5325.0
152.00,5612.5
152.40,5462.5
152.80,5962.5
153.20,5637.5
153.60,5737.5
154.00,5500.0
154.40,5625.0
154.80,5675.0
155.20,5687.5
155.60,5325.0
156.00,5475.0
156.40,5475.0
156.80,5412.5
157.20,5787.5
157.60,6112.5
158.00,6150.0
158.40,6175.0
158.80,5775.0
159.20,6200.0
159.60,5750.0
160.00,6325.0
160.40,5687.5
160.80,6012.5
161.20,5787.5
161.60,5887.5
162.00,5737.5
162.40,5850.0
162.80,5750.0
163.20,6250.0
163.60,6212.5
164.00,6375.0
164.40,5937.5
164.80,5975.0
165.20,5150.0
165.60,6275.0
166.00,5262.5
166.40,6100.0
166.80,5662.5
167.20,5950.0
167.60,5687.5
168.00,6062.5
168.40,5687.5
168.80,5862.5
169.20,5662.5
169.60,5675.0
170.00,5700.0
170.40,5862.5
170.80,5700.0
171.20,5750.0
171.60,5625.0
172.00,5387.5
172.40,5375.0
172.80,5337.5
173.20,5650.0
173.60,5712.5
174.00,6037.5
174.40,5975.0
174.80,6050.0
175.20,5650.0
175.60,5800.0
176.00,5212.5
176.40,5750.0
176.80,6025.0
177.20,5375.0
177.60,5987.5
178.00,5675.0
178.40,5950.0
178.80,5350.0
179.20,5687.5
179.60,5537.5
180.00,5737.5
180.40,5875.0
180.80,5862.5
181.20,6087.5
181.60,5912.5
182.00,6262.5
182.40,6262.5
182.80,6037.5
183.20,6025.0
183.60,6037.5
184.00,5625.0
184.40,5775.0
184.80,5700.0
185.20,5737.5
185.60,5762.5
186.00,6150.0
186.40,5775.0
186.80,6337.5
187.20,5762.5
187.60,6150.0
188.00,5900.0
188.40,5550.0
