BindingEnergy_eV,Intensity
148.80,4012.5
149.20,4150.0
149.60,4325.0
150.00,4412.5
150.40,4437.5
150.80,4012.5
151.20,3550.0
151.60,3262.5
152.00,2850.0
152.40,2850.0
152.80,2050.0
153.20,2450.0
153.60,1775.0
154.00,2175.0
154.40,1825.0
154.80,2175.0
155.20,1837.5
155.60,1862.5
156.00,1687.5
156.40,1775.0
156.80,1462.5
157.20,1837.5
157.60,1900.0
158.00,2200.0
158.40,1887.5
158.80,1950.0
159.20,1900.0
159.60,2225.0
160.00,2175.0
160.40,2100.0
160.80,2262.5
161.20,1937.5
161.60,2137.5
162.00,1937.5
162.40,2087.5
162.80,2250.0
163.20,1962.5
163.60,2212.5
164.00,2200.0
164.40,2362.5
164.80,2300.0
165.20,2250.0
165.60,2275.0
166.00,2300.0
166.40,2525.0
166.80,2250.0
167.20,2362.5
167.60,2637.5
168.00,2725.0
168.40,2175.0
168.80,2325.0
169.20,2062.5
169.60,2262.5
170.00,2550.0
170.40,2537.5
170.80,2725.0
171.20,2650.0
171.60,2400.0
172.00,2350.0
172.40,2487.5
172.80,2387.5
173.20,2500.0
173.60,2562.5
174.00,2250.0
174.40,2550.0
174.80,2275.0
175.20,2412.5
175.60,2812.5
176.00,2275.0
176.40,2662.5
176.80,2425.0
177.20,2387.5
177.60,2300.0
178.00,2175.0
178.40,2350.0
178.80,2200.0
179.20,2425.0
179.60,2350.0
180.00,2212.5
180.40,2237.5
180.80,2050.0
181.20,2125.0
181.60,2375.0
182.00,2050.0
182.40,1925.0
182.80,2125.0
183.20,2050.0
183.60,2312.5
184.00,2012.5
184.40,2225.0
184.80,2012.5
185.20,2175.0
185.60,2125.0
186.00,2362.5
186.40,2387.5
186.80,1912.5
187.20,2300.0
187.60,2275.0
188.00,2237.5
188.40,2037.5
188.80,2375.0
189.20,1875.0
189.60,2400.0
190.00,2150.0
190.40,2350.0
190.80,2125.0
191.20,2262.5
191.60,2237.5
192.00,2350.0
192.40,1912.5
192.80,2350.0
193.20,2137.5
193.60,2262.5
194.00,2325.0
194.40,2037.5
194.80,2275.0
195.20,2400.0
195.60,1950.0
196.00,2262.5
196.40,1887.5
196.80,2062.5
197.20,2150.0
197.60,1962.5
198.00,2512.5
198.40,2000.0
198.80,2425.0
199.20,2012.5
199.60,2475.0
200.00,2100.0
200.40,2462.5
200.80,2125.0
201.20,2087.5
201.60,1837.5
202.00,2112.5
202.40,1912.5
202.80,2325.0
203.20,2037.5
203.60,2137.5
204.00,2200.0
204.40,2187.5
204.80,2300.0
205.20,1950.0
205.60,2312.5
206.00,2362.5
206.40,2225.0
206.80,2112.5
207.20,2087.5
207.60,1837.5
208.00,2112.5
208.40,2212.5
208.80,2112.5
209.20,2075.0
209.60,2275.0
210.00,2112.5
210.40,2187.5
210.80,2475.0
211.20,2275.0
211.60,2137.5
212.00,2437.5
212.40,1962.5
212.80,2150.0
213.20,1937.5
213.60,2400.0
214.00,1987.5
214.40,2150.0
214.80,2137.5
215.20,2137.5
215.60,2137.5
216.00,1837.5
216.40,2050.0
216.80,2075.0
217.20,2187.5
217.60,2137.5
218.00,2075.0
218.40,2350.0
218.80,2100.0
219.20,2100.0
219.60,2050.0
220.00,1987.5
220.40,1850.0
220.80,1837.5
221.20,2112.5
221.60,2037.5
222.00,1975.0
222.40,2037.5
222.80,2437.5
223.20,2075.0
223.60,2212.5
224.00,2087.5
224.40,2112.5
224.80,2062.5
225.20,1975.0
225.60,2125.0
226.00,2112.5
226.40,2000.0
226.80,2075.0
227.20,2262.5
227.60,2162.5
228.00,2300.0
228.40,1950.0
228.80,2387.5
229.20,1875.0
229.60,1975.0
230.00,1887.5
230.40,2112.5
230.80,2437.5
231.20,2050.0
231.60,2250.0
232.00,1987.5
232.40,2112.5
232.80,2350.0
233.20,1887.5
233.60,2062.5
234.00,1962.5
234.40,2162.5
234.80,2225.0
235.20,2025.0
235.60,2287.5
236.00,1850.0
236.40,2262.5
236.80,2125.0
237.20,2100.0
237.60,2200.0
238.00,2037.5
238.40,2112.5
238.80,2037.5
239.20,2037.5
239.60,2062.5
240.00,2400.0
240.40,1950.0
240.80,2137.5
241.20,2037.5
241.60,2075.0
242.00,2037.5
242.40,1762.5
242.80,2150.0
243.20,1912.5
243.60,2150.0
244.00,1812.5
